direction,train_cycle,chronological_age_years,term_score_log_odds,training_bin_unweighted_n,display_eligible
train_2015_2016_test_2017_2018,2015_2016,53.5,0.6123252802157547,47,True
train_2015_2016_test_2017_2018,2015_2016,54.0,0.6123252802157547,47,True
train_2015_2016_test_2017_2018,2015_2016,54.5,0.66729422543613,43,True
train_2015_2016_test_2017_2018,2015_2016,55.0,0.66729422543613,43,True
train_2015_2016_test_2017_2018,2015_2016,55.5,0.7075502285501581,30,True
train_2015_2016_test_2017_2018,2015_2016,56.0,0.7075502285501581,30,True
train_2015_2016_test_2017_2018,2015_2016,56.5,0.7353898599463956,34,True
train_2015_2016_test_2017_2018,2015_2016,57.0,0.7353898599463956,34,True
train_2015_2016_test_2017_2018,2015_2016,57.5,0.7702914767539605,36,True
train_2015_2016_test_2017_2018,2015_2016,58.0,0.7702914767539605,36,True
train_2015_2016_test_2017_2018,2015_2016,58.5,0.8159803046701383,50,True
train_2015_2016_test_2017_2018,2015_2016,59.0,0.8159803046701383,50,True
train_2015_2016_test_2017_2018,2015_2016,59.5,0.8823332115424146,94,True
train_2015_2016_test_2017_2018,2015_2016,60.0,0.8823332115424146,94,True
train_2015_2016_test_2017_2018,2015_2016,60.5,0.8823332115424146,94,True
train_2015_2016_test_2017_2018,2015_2016,61.0,0.8823332115424146,94,True
train_2015_2016_test_2017_2018,2015_2016,61.5,0.9353624548809576,78,True
train_2015_2016_test_2017_2018,2015_2016,62.0,0.9353624548809576,78,True
train_2015_2016_test_2017_2018,2015_2016,62.5,0.9353624548809576,78,True
train_2015_2016_test_2017_2018,2015_2016,63.0,0.9353624548809576,78,True
train_2015_2016_test_2017_2018,2015_2016,63.5,0.972828942502861,86,True
train_2015_2016_test_2017_2018,2015_2016,64.0,0.972828942502861,86,True
train_2015_2016_test_2017_2018,2015_2016,64.5,0.972828942502861,86,True
train_2015_2016_test_2017_2018,2015_2016,65.0,0.972828942502861,86,True
train_2015_2016_test_2017_2018,2015_2016,65.5,1.0095076521532305,82,True
train_2015_2016_test_2017_2018,2015_2016,66.0,1.0095076521532305,82,True
train_2015_2016_test_2017_2018,2015_2016,66.5,1.0095076521532305,82,True
train_2015_2016_test_2017_2018,2015_2016,67.0,1.0095076521532305,82,True
train_2015_2016_test_2017_2018,2015_2016,67.5,1.0638579925689675,63,True
train_2015_2016_test_2017_2018,2015_2016,68.0,1.0638579925689675,63,True
train_2015_2016_test_2017_2018,2015_2016,68.5,1.0638579925689675,63,True
train_2015_2016_test_2017_2018,2015_2016,69.0,1.0638579925689675,63,True
train_2015_2016_test_2017_2018,2015_2016,69.5,1.109314749447863,80,True
train_2015_2016_test_2017_2018,2015_2016,70.0,1.109314749447863,80,True
train_2015_2016_test_2017_2018,2015_2016,70.5,1.109314749447863,80,True
train_2015_2016_test_2017_2018,2015_2016,71.0,1.109314749447863,80,True
train_2015_2016_test_2017_2018,2015_2016,71.5,1.109314749447863,80,True
train_2015_2016_test_2017_2018,2015_2016,72.0,1.109314749447863,80,True
train_2015_2016_test_2017_2018,2015_2016,72.5,1.39402984335088,76,True
